Question,Answer
¿Cuántos años de experiencia tienes con Directorio activo?,1
How many years of work experience do you have with NIST?,1
How many years of work experience do you have with Forensic Toolkit (FTK)?,1
How many years of work experience do you have with OWASP?,1
How many years of work experience do you have with Information Security Standards?,1
¿Cuántos años de experiencia tienes con JavaScript?,0
How many years of work experience do you have with Cyber Security Risk?,1
How many years of work experience do you have with General Data Protection Regulation (GDPR)?,1
How many years of work experience do you have with Fortinet?,1
Description,
Website,
How many years of work experience do you have with Microsoft Azure?,1
Mobile phone number, +34 659176954
How many years of work experience do you have with IBM QRadar?,0
Are you legally authorized to work in ES?,Yes
¿Cuántos años de experiencia tienes con Powershell?,1
What is your level of proficiency in spa?,Native or bilingual
How many years of work experience do you have with Amazon Web Services (AWS)?,1
State / Province,
What is your level of proficiency in eng?,Native or bilingual
How many years of work experience do you have with Jira?,0
School,
City,
How many years of work experience do you have with Microsoft Entra ID?,1
How many years of work experience do you have with Cyberark?,1
Are you comfortable working in a remote setting?,Yes
¿Hablas Inglés?,Sí
How many years of work experience do you have with Network Security?,1
Company,
Country,
How many years of work experience do you have with GitHub?,1
Degree,
How many years of work experience do you have with NIST 800-53?,1
How many years of work experience do you have with Nagios Core?,1
How many years of work experience do you have with Tenable.io?,1
How many years of work experience do you have with Ethical Hacking?,1
How many years of work experience do you have with Cybersecurity Incident Response?,1
¿Cuántos años de experiencia tienes con Programación en C?,1
How many years of work experience do you have with Antivirus?,1
Your title,
How many years of work experience do you have with Crypto?,7
How many years of work experience do you have with Technical Support?,1
How many years of work experience do you have with Security Operations Center?,1
How many years of urn:li:industry:118 experience do you currently have?,1
How many years of work experience do you have with Malware Analysis?,1
How many years of work experience do you have with Identity and Access Management (IAM)?,1
How many years of work experience do you have with Python (Programming Language)?,1
How many years of work experience do you have with Internet Protocol Suite (TCP/IP)?,1
How many years of work experience do you have with Network Architecture?,1
¿Cuántos años de experiencia tienes con C++?,0
