Login Date,IP Address,User Agent,Login Type
Wed Jan 03 11:05:09 UTC 2024,92.58.109.24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Login
Wed Jan 03 13:14:00 UTC 2024,88.22.138.237,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36",Login
Wed Mar 27 12:37:39 UTC 2024,88.23.86.195,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.921 Google_Pixel 6a:android_14,Login
Thu Apr 04 11:40:34 UTC 2024,88.23.86.195,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",Login
Mon Apr 29 12:45:45 UTC 2024,83.49.167.209,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",Login
Thu May 16 06:26:45 UTC 2024,83.49.167.209,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",Login
Wed May 22 16:02:48 UTC 2024,2a02:9130:84b7:8f4d:17d1:d7c1:445f:39b4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",Login
Wed May 22 16:03:00 UTC 2024,2a02:9130:84b7:8f4d:17d1:d7c1:445f:39b4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",Login
Wed May 22 16:03:00 UTC 2024,2a02:9130:84b7:8f4d:17d1:d7c1:445f:39b4,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",Login
Wed May 29 15:30:28 UTC 2024,83.49.168.223,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",Login
Wed May 29 15:30:29 UTC 2024,83.49.168.223,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Mobile Safari/537.36",Login
Wed May 29 15:34:59 UTC 2024,83.49.168.223,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Login
