Challenge Date,IP Address,User Agent,Country,Challenge Type
Tue Jan 02 15:17:20 UTC 2024,88.22.138.237,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Spain,CAPTCHA_CHALLENGE
Tue Jan 02 15:17:29 UTC 2024,88.22.138.237,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Spain,CAPTCHA_CHALLENGE
Tue Jan 02 15:17:30 UTC 2024,88.22.138.237,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Spain,EMAIL_PIN_CHALLENGE
Tue Jan 02 15:17:57 UTC 2024,88.22.138.237,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Spain,EMAIL_PIN_CHALLENGE
Wed Jan 03 11:04:47 UTC 2024,92.58.109.24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Spain,EMAIL_PIN_CHALLENGE
Wed Jan 03 11:05:09 UTC 2024,92.58.109.24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Spain,EMAIL_PIN_CHALLENGE
Thu Mar 21 16:17:55 UTC 2024,88.23.86.195,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36",Spain,EMAIL_PIN_CHALLENGE
Wed Mar 27 12:37:13 UTC 2024,88.23.86.195,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.921 Google_Pixel 6a:android_14,Spain,EMAIL_PIN_CHALLENGE
Wed Mar 27 12:37:38 UTC 2024,88.23.86.195,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.921 Google_Pixel 6a:android_14,Spain,EMAIL_PIN_CHALLENGE
Sat Apr 06 07:44:31 UTC 2024,2a02:9130:853b:8ea8:17c3:9aec:eb38:1c68,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",Spain,CAPTCHA_CHALLENGE
Sat Apr 06 07:44:31 UTC 2024,2a02:9130:853b:8ea8:17c3:9aec:eb38:1c68,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",Spain,CAPTCHA_CHALLENGE
Sat Apr 06 07:44:55 UTC 2024,2a02:9130:853b:8ea8:17c3:9aec:eb38:1c68,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36",Spain,CAPTCHA_CHALLENGE
