Question,Answer
¿Cuántos años de experiencia tienes con Microsoft PowerPoint?,10
How many years of work experience do you have with Network Operations Center (NOC)?,1
How many years of work experience do you have with Cybersecurity?,1
How many years of urn:li:industry:57 experience do you currently have?,0
Please submit a resume or LinkedIn profile,386573862.pdf
¿Cuántos años de experiencia tienes con Perl?,0
Cover letter,
What is your level of proficiency in deu?,None
How many years of work experience do you have with Communication?,18
We must fill this position urgently. Can you start immediately?,Yes
How many years of work experience do you have with Office 365?,1
"How many years of work experience do you have with Governance, Risk Management, and Compliance (GRC)?",1
How many years of work experience do you have with NERC?,1
¿Cuántos años de experiencia tienes con Sistemas operativos?,7
How many years of work experience do you have with Splunk?,1
How many years of work experience do you have with Risk Analysis?,1
¿Cuántos años de experiencia tienes con Bases de datos?,1
How many years of work experience do you have with Cybersecurity Tools?,1
How many years of IT experience do you currently have?,1
How many years of work experience do you have with System Safety?,1
Description,
Major / Field of study,
How many years of work experience do you have with Selenium?,1
How many years of work experience do you have with NIS?,1
How many years of work experience do you have with Jenkins?,1
¿Cuántos años de experiencia tienes con Microsoft Excel?,4
¿Has obtenido el siguiente título: Máster?,No
How many years of work experience do you have with Incident Response?,1
Are you legally authorized to work in GB?,Yes
How many years of work experience do you have with IEC?,1
How many years of work experience do you have with Cross-team Collaboration?,6
¿Tienes la siguiente certificación: Security Analyst?,Sí
How many years of work experience do you have with Vulnerability Management?,1
How many years of work experience do you have with SCADA?,1
State / Province,
First name,
How many years of work experience do you have with Qualys?,1
How many years of work experience do you have with Customer Service?,2
¿Cuántos años de experiencia tienes con Software de código abierto?,8
How many years of work experience do you have with Security Engineering?,1
¿Cuántos años de experiencia tienes con Java?,0
How many years of work experience do you have with Telecommunications?,1
How many years of CNSL experience do you currently have?,1
How many years of work experience do you have with Regulatory Compliance?,1
How many years of work experience do you have with Linux?,3
How many years of work experience do you have with Web Application Firewalls?,1
¿Cuántos años de experiencia tienes con SQL?,1
¿Cuántos años de experiencia tienes con Unix?,0
How many years of work experience do you have with Confluence?,0
¿Tienes la siguiente certificación: Certified Information Security Manager?,No
City,
How many years of work experience do you have with Cloud Computing?,1
Are you comfortable working in a hybrid setting?,Yes
¿Cuántos años de experiencia tienes con Windows?,18
How many years of work experience do you have with Microsoft Products?,1
Company,
How many years of work experience do you have with OpenVAS?,1
Last name,
How many years of work experience do you have with iOS?,8
How many years of work experience do you have with Ansible?,1
Country,
How many years of work experience do you have with STEM?,1
Degree,
¿Tienes la siguiente certificación: Cisco IPS Specialist?,No
How many years of work experience do you have with EDR?,1
¿Tienes la siguiente certificación: Certified Information Systems Security Professional?,No
How many years of work experience do you have with Penetration Testing?,1
¿Cuántos años de experiencia tienes con PHP?,1
¿Cuántos años de experiencia tienes con .NET Framework?,1
How many years of work experience do you have with Android?,10
Your title,
Location (city),
How many years of work experience do you have with Cyber?,1
"Are you willing to undergo a background check, in accordance with local law/regulations?",Yes
How many years of work experience do you have with Akamai?,1
How many years of work experience do you have with Cyber-security?,1
How many years of ANLS experience do you currently have?,1
¿Cuántos años de experiencia tienes con Microsoft Office?,10
Have you completed the following level of education: Bachelor's Degree?,Yes
¿Cuántos años de experiencia tienes con Mac?,10
How many years of work experience do you have with Auditing?,1
