Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Docker Foundations Professional Certificate,"Containers help developers pack up their applications, ensuring they run smoothly anywhere. Software developers need to understand these technologies to deliver software as a team. Whether you are new to Docker or looking to review the fundamentals, these courses can help. Tune in, pass the final exam, and earn your certificate.",Learning Path,N/A,N/A,true,N/A,
Penetration Testing Professional Certificate by Cybrary,"Penetration testing is a key discipline in a cybersecurity career. In this learning path, master ethical hacking, from the cyber kill chain to advanced exploit analysis. Gain hands-on expertise with Kali Linux, Metasploit, and Burp Suite to excel in identifying and mitigating vulnerabilities. Tune in, pass the exam, and earn your certificate.<br><br>This certificate is endorsed by Cybrary. To continue your learning journey, visit <a href=""https://www.cybrary.it/career-path/it-and-cybersecurity-foundations"">Cybrary Career Paths</a>.",Learning Path,2025-02-06 15:03 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:660eec77498e159e34a68fd8,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:660eec77498e159e34a68fd8,Learning Path,2025-02-06 17:38 UTC,2025-02-06 17:26 UTC,true,N/A,
Career Essentials in GitHub Professional Certificate,"Want to advance your developer journey? Are you a new computer science grad looking for a developer role? These courses teach the skills to enrich your GitHub portfolio and elevate your profile in today's competitive job market. Tune in, pass the final exam, and earn your professional certificate.",Learning Path,2025-02-05 16:45 UTC,2025-02-05 16:43 UTC,true,N/A,
Career Essentials in Cybersecurity by Microsoft and LinkedIn,Discover the skills needed for a career in cybersecurity. Gain a solid understanding of commonly used cybersecurity terms. Explore the current threat landscape and learn the core concepts of cybersecurity.  ,Learning Path,2025-02-18 12:24 UTC,2025-02-18 12:21 UTC,true,N/A,
Nano Tips for Using AI for Brand Storytelling with Ash Rathod,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Ash Rathod offers tips on how to use AI tools for inspiration, productivity, and identifying with your audience as a storyteller. Learn about the human-AI creative balance, ethical AI storytelling pitfalls to avoid, crafting better AI prompts, and more.",Course,2025-02-03 17:46 UTC,N/A,false,N/A,
Demystifying Advanced and Complex Security Topics,"<p>Have you ever wanted to know more about the complex world of cybersecurity, but weren’t sure where or how to begin? This course is designed to help you unravel the intricacies of some of the most important and most challenging topics in today’s cybersecurity landscape, particularly if you already have a basic understanding of the field and are looking to learn more about advanced concepts and practices.</p><p>Join industry-leading expert and CISO Jerich Beason as he covers a wide variety of topics, including advanced threat detection, complex network security architectures, cutting-edge cybersecurity technologies, and the latest trends in cyberdefense strategies. By the end of this course, you’ll be prepared to identify, think about, explain, and address complex cybersecurity challenges using industry-leading protocols and practices.</p>",Course,2025-02-05 12:23 UTC,N/A,false,N/A,
Tips to Enhance Emotional Intelligence with Calming Exercises,"Our internal state dictates the way that we show up and interact with the world around us. This includes managing not only feelings of excitement but also moments of stress and overwhelm. In this course, mental health and well-being expert Nidhi Tewari outlines a series of exercises that can help you identify and regulate your emotions in order to manage stress, increase your emotional intelligence, and boost your capacity to interact with others with self-awareness. Nidhi guides you through techniques such as fine-tuning neuroception and interoception, identifying and interrupting emotional triggers, using 4-7-8 breathing to manage strong emotions, and leveraging the relationship between emotions, thoughts, and actions. By the end of this course, you’ll have developed greater self-awareness to recognize signs of stress long before they overwhelm you.",Course,2025-04-13 03:13 UTC,N/A,false,N/A,
Microsoft Security Copilot (2024),"<p>Microsoft Copilot for Security is a potential game-changer in the cybersecurity industry. Leveraging the power of generative AI, it rapidly turns questions, known as prompts, into intelligent and actionable guidance, revolutionizing the way you approach security defense. Copilot for Security allows you to complete tasks in minutes instead of a full day, streamline previously complex security operations, bridge the talent gap in cybersecurity, and more.</p><p>In this course, instructor Bryan Li delves into this important topic, covering the rise of generative AI, how it affects cybersecurity leaders and professionals, and how to get started with Copilot for Security. Explore the key capabilities of Copilot for Security and how to apply it in everyday security operations.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-cybersecurity-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-02-18 12:24 UTC,2025-02-18 12:21 UTC,false,N/A,
C# Practice: Interfaces and Abstract Classes,"<p>Test your object-oriented knowledge of C# in this edition of <i>Code Challenges</i>. Instructor and .NET developer Walt Ritscher presents five hands-on, intro-level challenges focused on abstract classes and interface implementation. Each challenge examines one aspect of these topics, and after you write the code to solve the challenge, check your work against Walt’s solution.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-02-18 06:23 UTC,N/A,false,N/A,
