Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2025-10-11 13:29:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7382769348341379072,"Tariffs, macroeconomic implications caused by political decisions may impact on $ € ¥ prices of every thing and corrupt insiders may always exist... But:""
""           1 BTC = 1 BTC   &  21M = ∞ Value.","","",MEMBER_NETWORK
2025-08-08 21:04:37,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7359691027856711682,Oh boy! going to enjoy this one.,"","",MEMBER_NETWORK
2025-08-08 20:53:03,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7359688118372839424,"Es triste ver esta tendencia 📉""
""""
""En su momento llegué a tener un Full Nodr de Bitcoin con Lightning, gestionando muchos canales entrantes y salientes, y cerca de 1 BTC de liquidez. Creía profundamente en ayudar a que la red creciera.""
""""
""Pero la realidad es:""
""⚡ La barrera técnica para muchos usuarios sigue siendo alta, lo que dificulta la adopción de Lightning en autocustodia.""
""⚡ Los servicios Lightning de terceros todavía podrían ser mucho más fáciles de usar, confiables y atractivos.""
""""
""Para quien no esté familiarizado:""
""""
""Lightning Network (LN) es una capa 2 de pagos sobre Bitcoin. Permite transacciones instantáneas y baratas creando canales de pago entre usuarios — pero requiere bloquear liquidez y mantener tu nodo activo.""
""""
""Liquid Network es otra capa 2, pero funciona diferente. Es una cadena lateral de Bitcoin operada por una federación de “functionaries”. Es útil para transacciones rápidas, confidenciales y emisión de activos, aunque no es tan descentralizada como Lightning o la capa base de Bitcoin.""
""""
""""
""Pros:""
""✅ Lightning – Pagos instantáneos y con bajas comisiones; descentralizado si lo gestionas tú mismo.""
""✅ Liquid – Funciones de privacidad, liquidación rápida, emisión de activos.""
""""
""Contras:""
""⚠ Lightning – Configuración compleja para autocustodia; requiere gestión activa; limitaciones de liquidez.""
""⚠ Liquid – Depende de la confianza en una federación; menor resistencia a censura que la cadena principal de Bitcoin.""
""""
""Bitcoin es imparable. Pero para que estas capas 2 cumplan su promesa, debemos reducir barreras, mejorar la experiencia de usuario y dar a más personas las herramientas para operar sus propios nodos — sin depender únicamente de servicios centralizados.""
""""
""El futuro es multicapa, pero solo si seguimos construyendo.""
""""
""#Bitcoin #LightningNetwork #LiquidNetwork #BTC #Layer2 #Innovación #Descentralización""
""""
""""
""","","",MEMBER_NETWORK
2025-08-08 20:51:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7359687623688306688,"Sad to see this trend 📉""
""""
""At one point, I was running a full Bitcoin node with Lightning, managing many inbound and outbound channels, and close to 1 BTC of liquidity. I believed deeply in helping the network grow.""
""""
""But here’s the reality:""
""⚡ The technical barrier for many users is still high, making self-custody Lightning adoption difficult.""
""⚡ Third-party Lightning services could be far more user-friendly, reliable, and rewarding.""
""""
""For those new to it:""
""""
""Lightning Network (LN) is a Layer 2 payment network built on top of Bitcoin. It allows instant, cheap transactions by creating payment channels between users — but you need to lock up liquidity and maintain your node to keep it running.""
""""
""Liquid Network is another Layer 2, but it works differently. It’s a Bitcoin sidechain run by a federation of functionaries. It’s great for faster, confidential transactions and token issuance, but it’s not as decentralized as Lightning or Bitcoin’s base layer.""
""""
""""
""Pros:""
""✅ Lightning – Instant, low-fee payments; decentralized if self-hosted.""
""✅ Liquid – Privacy features, fast settlement, asset issuance.""
""""
""Cons:""
""⚠ Lightning – Complex setup for self-custody; requires active management; liquidity constraints.""
""⚠ Liquid – Requires trust in a federation; not censorship-resistant to the same degree as Bitcoin’s main chain.""
""""
""Bitcoin is unstoppable. But for these Layer 2s to fulfill their promise, we must lower barriers, improve UX, and empower more people to run their own setups — rather than relying solely on centralized services.""
""""
""The future is multi-layered, but only if we keep building.""
""""
""#Bitcoin #LightningNetwork #LiquidNetwork #BTC #Layer2 #CryptoInnovation #Decentralization""
""""
""""
""","","",MEMBER_NETWORK
2025-08-08 17:57:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7359643959532412930,"📢 Bitcoin entra en el juego de las pensiones""
""📢 Bitcoin joins the retirement game""
""""
""Trump ha firmado una orden que permitirá incluir BTC como opción en los 401(k), el sistema de ahorro para jubilación más grande de EE.UU.""
""Trump has signed an order allowing BTC as an option in 401(k) plans, the largest retirement savings system in the U.S.""
""""
""Esto marca un paso importante hacia la diversificación y modernización de los planes de retiro, ofreciendo a millones de personas acceso a un activo digital descentralizado y limitado.""
""This marks an important step toward diversification and modernization of retirement plans, giving millions access to a decentralized and limited digital asset.""
""""
""Más allá de la política, es un reconocimiento de que Bitcoin ya es parte de la conversación financiera global.""
""Beyond politics, it’s recognition that Bitcoin is already part of the global financial conversation.""
""""
""#Bitcoin #BTC #Inversión #Finanzas #401k #Retirement #Innovation""
""""
""","","",MEMBER_NETWORK
2025-07-30 11:24:26,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7356283529757974528,DECENTRALIZED 💪,"","",MEMBER_NETWORK
2025-07-19 12:18:12,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7352310794459439105,"Espero poder dar mi opinión en unos años sobre trabajar en remoto 🙄.""
""""
""Pero como todo en la vida debe tener sus pros y sus contras 😆.""
""""
""Si eres de RRHH/ Hiring y tienes un puesto para un Junior en CyberSeguridad/ IT, HelpDesk en Remoto soy tú candidato!""
""""
""#OpenToWork","","",MEMBER_NETWORK
2025-07-14 17:54:46,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7350583551949471748,"🔒 Si ni siquiera pudieron sostener sus qubits topológicos sin que se les desmoronara el castillo de arena...""
""¿De verdad confiarías en que Microsoft proteja tu información bancaria, tus contraseñas o tu identidad digital?""
""""
""Cada vez que una gran empresa vende una “revolución” y termina siendo humo, no solo decepciona: también pone en duda cuánta verdad hay detrás de las herramientas que usamos a diario para protegernos.""
""""
""No hace falta entrar en papers científicos para entender algo básico:""
""📌 La seguridad real no viene de confiar en promesas, sino de poder verificar cómo funciona lo que usas.""
""📌 La privacidad no debería depender de lo que diga una corporación, sino de protocolos abiertos que cualquiera pueda auditar.""
""""
""💡 Tecnologías como PGP, SSH, HTTPS o las VPNs bien configuradas llevan años protegiéndonos, no porque lo diga un logo, sino porque están construidas sobre fundamentos públicos, probados y mejorados por comunidades reales.""
""🟧 Bitcoin también entra ahí, por su diseño abierto y resistente, sin necesidad de pedir permiso ni confiar en terceros.""
""""
""No se trata de idolatrar tecnologías. Se trata de elegir herramientas que podamos entender, mejorar y defender.""
""""
""Porque entre castillos de arena y estructuras sólidas,""
""yo lo tengo claro: verifica, no confíes.""
""""
""#SeguridadDigital #OpenSource #Criptografía #PGP #SSH #VPN #HTTPS #Bitcoin #Privacidad #Descentralización #VerificaNoConfíes","","",MEMBER_NETWORK
2025-07-14 17:39:56,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7350579819518070785,"🚨 Spoofing + AI: the perfect combo for a nearly perfect scam 🚨""
""""
""We're seeing more and more cases where artificial intelligence is being combined with phone spoofing to deceive people and trick them into transferring money. And here's the scary part: they no longer need hours of audio to clone your voice — just a few minutes will do.""
""""
""If you’ve ever uploaded a video or spoken in a podcast, interview, or livestream, congrats — there’s already enough data out there to impersonate you.""
""""
""This isn’t paranoia, it’s just smart defense. Many CEOs and high-profile individuals now use pre-agreed code words or phrases with family or trusted contacts to verify authenticity during sensitive calls.""
""""
""Personally, I had a running joke with a friend: —“They say it’s really cold today.” —“Yeah, but people still go swimming at the beach.”""
""""
""Total nonsense. But nonsense that could save you. If someone doesn’t respond with the expected phrase — red flag.""
""""
""👉 Consider setting up a verbal passphrase with your loved ones, financial advisor, lawyer, or anyone critical. It costs nothing and could save you from losing a lot — money or worse.""
""""
""AI is moving fast. Let’s not make it easy for scammers to keep up.""
""""
""#CyberSecurity #AIThreats #PhoneSpoofing #SocialEngineering #DigitalIdentity #SecurityTips #EthicalHacking #Infosec""
""","","",MEMBER_NETWORK
2025-07-14 17:37:49,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7350579287734792193,"🚨 Spoofing + IA: el combo perfecto para una estafa casi perfecta 🚨""
""""
""Cada vez es más común ver casos donde combinan inteligencia artificial con suplantación telefónica (phone spoofing) para engañar a personas y obtener transferencias de dinero. Y lo más preocupante: ya no necesitan horas de audio para clonar una voz, con unos minutos basta.""
""""
""¿Tienes vídeos en redes sociales? ¿Has subido algún audio a internet? Entonces ya hay material suficiente para suplantarte.""
""""
""Esto no es paranoia, es prevención. Hoy en día, muchos CEOs y personas con alto perfil tienen palabras clave pactadas con familiares o socios. ¿El objetivo? Confirmar que quien llama es quien dice ser.""
""""
""Por ejemplo, yo con un amigo teníamos una broma interna: —""Dicen que hace mucho frío"" —""Sí, pero igual la gente se baña en la playa""""
""""
""Una frase absurda, sin contexto, pero que podía marcar la diferencia entre saber que era él o que algo andaba mal.""
""""
""👉 Piensa en tener tu propia contraseña verbal con tus seres queridos, tu abogado, asesor financiero o quien creas necesario. No cuesta nada, y puede ahorrarte un susto (o una estafa de cinco cifras).""
""""
""La IA está avanzando rápido. Que no nos pille por tontos.""
""""
""#Ciberseguridad #IA #Spoofing #IngenieríaSocial #Prevención #IdentidadDigital #HackingÉtico #Seguridad","","",MEMBER_NETWORK
